ModelID,ProfileID,ProfileType
ACH-000873,PR-kl468e,rna
ACH-000873,PR-sDMrS8,dna
ACH-001089,PR-qOn2lx,dna
ACH-000860,PR-yL4kGI,rna
ACH-000860,PR-gSDwyR,dna
ACH-001715,PR-pUWMlI,rna
ACH-001715,PR-OrnAxc,dna
ACH-001627,PR-2WACfU,rna
ACH-001627,PR-5vQHpI,dna
ACH-000439,PR-tAgQgg,rna
ACH-000439,PR-jonoJG,dna
ACH-002255,PR-GYfpLB,dna
ACH-001638,PR-iAibSR,rna
ACH-001638,PR-FZ5nGv,dna
ACH-002041,PR-6WdmAx,rna
ACH-002041,PR-9dU2Dr,dna
ACH-000318,PR-sgV9uU,rna
ACH-000318,PR-NKbkQk,dna
ACH-001142,PR-1SxiAL,rna
ACH-002401,PR-vhDLCX,rna
ACH-002401,PR-RtIft3,dna
ACH-001533,PR-2WXRlv,rna
ACH-001533,PR-xYVgxG,dna
ACH-002669,PR-eZ3iv8,rna
ACH-002669,PR-oWDWeY,dna
ACH-001680,PR-hXbLIL,rna
ACH-001680,PR-Rgexy9,dna
ACH-000789,PR-GkSvfv,rna
ACH-000789,PR-2056gD,dna
ACH-002100,PR-fi9A8c,dna
ACH-000544,PR-xwKb3G,rna
ACH-000544,PR-6cQSp2,dna
ACH-000531,PR-r0ORQZ,rna
ACH-000531,PR-31jRAf,dna
ACH-000695,PR-mqXxEp,rna
ACH-000695,PR-kuQnIb,dna
ACH-001704,PR-AQv9F9,rna
ACH-001704,PR-tFOWBW,dna
ACH-000399,PR-ypeetS,rna
ACH-000399,PR-K7DgFj,dna
ACH-003191,PR-14WoYv,rna
ACH-003191,PR-5Z9nRF,dna
ACH-000175,PR-f1fZbH,rna
ACH-000175,PR-t7z2DQ,dna
ACH-001558,PR-Ma6eYe,rna
ACH-001558,PR-HD4xg6,dna
ACH-001793,PR-Yj4UVV,rna
ACH-001793,PR-IrKja0,dna
ACH-003145,PR-uqlNf8,rna
ACH-003468,PR-hy5Vel,rna
ACH-003468,PR-qXaD5w,dna
ACH-000990,PR-a1Bl1Q,rna
ACH-000990,PR-4IHwlo,dna
ACH-000341,PR-F9jSGW,rna
ACH-000341,PR-lipqdd,dna
ACH-003183,PR-IXiQoP,rna
ACH-003183,PR-cB7iUU,dna
ACH-000424,PR-kXQqUL,rna
ACH-000424,PR-d3Gt2J,dna
ACH-001450,PR-wBq2IE,rna
ACH-001450,PR-VqAoGS,dna
ACH-002678,PR-eeS8lC,rna
ACH-002678,PR-AeffkL,dna
ACH-002794,PR-zpG15h,rna
ACH-002794,PR-jhmhyz,dna
ACH-000495,PR-Fg5Fny,rna
ACH-000495,PR-FlRMNN,dna
ACH-001200,PR-l2ZXB8,rna
ACH-001200,PR-pRti9C,dna
ACH-002026,PR-kTUf8Q,rna
ACH-002026,PR-qfOEgU,dna
ACH-000427,PR-l7Jg3t,rna
ACH-000427,PR-ZLAW5H,dna
ACH-001338,PR-BoNJN3,rna
ACH-001338,PR-FGqCkP,dna
ACH-001163,PR-50EY5A,rna
ACH-001163,PR-jGkzxR,dna
ACH-002192,PR-mZFuZt,dna
ACH-001443,PR-rgWliS,rna
ACH-001443,PR-xenMnr,dna
ACH-000612,PR-Myvrcc,rna
ACH-000612,PR-RDbb1o,dna
ACH-001485,PR-MopqQe,rna
ACH-001485,PR-Kh1iW2,dna
ACH-000834,PR-rVEWoO,rna
ACH-000834,PR-yX1uS6,dna
ACH-002433,PR-OV26gl,rna
ACH-002433,PR-ejTtKM,dna
ACH-002017,PR-YOr8Y3,rna
ACH-002017,PR-DnuhxL,dna
ACH-000571,PR-uezrlM,rna
ACH-000571,PR-pA4ud2,dna
ACH-000694,PR-sbcqfY,rna
ACH-000694,PR-45qihg,dna
ACH-001687,PR-doL5Ei,rna
ACH-001687,PR-7AvMJR,dna
ACH-000590,PR-3C794r,rna
ACH-000590,PR-XTCfjw,dna
ACH-002236,PR-MnWmgX,dna
ACH-000686,PR-WKnuCo,rna
ACH-000686,PR-6yM2mu,dna
ACH-003308,PR-ZZwB5D,rna
ACH-003308,PR-xg6q2c,dna
ACH-000993,PR-WQIceW,rna
ACH-000993,PR-Ggfzdb,dna
